county_name,coverage_estimate,location_count,population,>=18 Years,Non-Medical Setting,location_per_1000
Ionia,41.857142857142854,91.0,66663.0,40.4,45.5,1.365075079129352
Iosco,45.92857142857143,17.0,25319.0,46.42,44.7,0.6714325210316364
Iowa,46.42142857142857,34.0,20170.5,46.29,46.75,1.685630004214075
Iredell,45.51428571428571,172.0,187839.0,43.08,51.599999999999994,0.9156777878928231
Irion,42.699999999999996,58.0,1561.0,39.86,49.8,37.15566944266496
Iron,42.332142857142856,42.0,21331.75,41.535000000000004,44.325,1.968896129009575
Iroquois,43.857142857142854,27.0,27043.0,42.980000000000004,46.05,0.9984099397256222
Irwin,35.8,13.0,9487.0,34.36,39.4,1.3702961947928745
Isabella,40.542857142857144,48.0,64938.0,39.8,42.400000000000006,0.7391665896701469
Isanti,43.25714285714286,24.0,41257.0,41.92,46.599999999999994,0.5817194657876239
Island,49.58571428571429,37.0,86510.0,46.36,57.65,0.427696220090163
Itasca,43.58571428571429,29.0,45054.0,45.739999999999995,38.2,0.6436720379988458
Itawamba,39.871428571428574,30.0,23888.0,40.4,38.55,1.2558606831882118
Izard,41.871428571428574,12.0,13748.0,42.56,40.150000000000006,0.8728542333430317
Jack,37.67142857142857,13.0,8588.0,33.839999999999996,47.25,1.5137401024685608
Jackson,40.6874213836478,737.0,74433.95833333333,39.93771929824561,42.586666666666666,9.901394692722576
Jasper,40.642857142857146,263.0,37076.75,39.275,44.0625,7.093394108167518
Jay,41.042857142857144,21.0,20451.0,37.839999999999996,49.05,1.0268446530731994
Jefferson,41.865895953757224,771.0,133646.85714285713,41.03145161290323,43.977551020408164,5.768934761973988
Jennings,42.128571428571426,42.0,27610.0,40.0,47.45,1.5211879753712423
Jerome,35.357142857142854,40.0,24474.0,32.32000000000001,42.95,1.6343875132793986
